trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
797,False,"{'a': 0.5, 'e': 0.00034567898589410494}",30,23,9.750773602239127,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
798,False,"{'a': 0.5, 'e': 0.0003422394225150394}",20,7,26.62123482553651,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
799,False,"{'a': 0.5, 'e': 0.0003388340833634261}",20,12,18.222848126171144,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
800,False,"{'a': 0.5, 'e': 0.00033546262790251185}",25,14,22.308027389005147,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
801,False,"{'a': 0.5, 'e': 0.00033212471898394095}",20,7,22.564919551162376,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
802,False,"{'a': 0.5, 'e': 0.00032882002281403995}",25,13,18.616096924985143,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
803,False,"{'a': 0.5, 'e': 0.00032554820892043796}",35,21,25.424584906287585,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
804,False,"{'a': 0.5, 'e': 0.00032230895011901855}",25,12,23.57879248449282,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
805,False,"{'a': 0.5, 'e': 0.00031910192248120326}",20,0,32.10783424440693,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
806,False,"{'a': 0.5, 'e': 0.00031592680530155527}",30,14,31.810269397703383,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
807,False,"{'a': 0.5, 'e': 0.00031278328106571065}",30,18,22.412212837462306,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
808,False,"{'a': 0.5, 'e': 0.0003096710354186262}",20,13,13.670010638400719,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
809,False,"{'a': 0.5, 'e': 0.0003065897571331437}",30,20,21.184109064249753,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
810,False,"{'a': 0.5, 'e': 0.0003035391380788668}",20,6,22.615047592064485,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
811,False,"{'a': 0.5, 'e': 0.0003005188731913479}",20,8,20.4208760559368,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
